Frequency (Hz)	Level (dB)
0.672913	-91.112038
1.345825	-91.362831
2.018738	-92.039658
2.691650	-87.058197
3.364563	-87.817924
4.037476	-82.636604
4.710388	-78.856911
5.383301	-84.615005
6.056213	-81.644234
6.729126	-82.490334
7.402039	-102.712631
8.074951	-86.025703
8.747864	-89.028679
9.420776	-88.512215
10.093689	-80.619888
10.766602	-86.153419
11.439514	-89.756821
12.112427	-81.989441
12.785339	-76.518661
13.458252	-78.259979
14.131165	-89.332520
14.804077	-87.083153
15.476990	-83.169632
16.149902	-85.231247
16.822815	-90.101562
17.495728	-93.280052
18.168640	-80.130432
18.841553	-77.865707
19.514465	-78.233185
20.187378	-83.221931
20.860291	-93.028687
21.533203	-92.654549
22.206116	-94.749435
22.879028	-88.850067
23.551941	-80.132324
24.224854	-78.616577
24.897766	-77.701157
25.570679	-86.277596
26.243591	-90.552315
26.916504	-87.774055
27.589417	-79.939598
28.262329	-83.711571
28.935242	-85.635155
29.608154	-82.106445
30.281067	-101.891335
30.953979	-83.588562
31.626892	-78.020210
32.299805	-76.953270
32.972717	-77.038521
33.645630	-84.593979
34.318542	-79.413452
34.991455	-73.290504
35.664368	-77.150444
36.337280	-79.018265
37.010193	-86.019753
37.683105	-82.368073
38.356018	-82.784378
39.028931	-77.011833
39.701843	-78.822632
40.374756	-75.561455
41.047668	-81.868645
41.720581	-83.746422
42.393494	-76.111076
43.066406	-74.786789
43.739319	-72.320961
44.412231	-71.923103
45.085144	-81.431557
45.758057	-85.405533
46.430969	-80.846565
47.103882	-78.045021
47.776794	-77.662926
48.449707	-82.417297
49.122620	-80.836380
49.795532	-71.589622
50.468445	-69.711945
51.141357	-72.403206
51.814270	-79.464424
52.487183	-80.394890
53.160095	-76.864746
53.833008	-70.812439
54.505920	-70.242073
55.178833	-74.880875
55.851746	-82.574097
56.524658	-71.976280
57.197571	-76.036514
57.870483	-76.049263
58.543396	-71.820290
59.216309	-69.397987
59.889221	-69.190933
60.562134	-70.033592
61.235046	-75.273842
61.907959	-78.771431
62.580872	-77.641869
63.253784	-76.730492
63.926697	-71.843811
64.599609	-74.896126
65.272522	-82.273254
65.945435	-69.834785
66.618347	-69.072060
67.291260	-80.578583
67.964172	-71.038353
68.637085	-68.908875
69.309998	-71.621597
69.982910	-76.021362
70.655823	-72.234703
71.328735	-76.030144
72.001648	-72.746140
72.674561	-69.257553
73.347473	-79.424965
74.020386	-73.701767
74.693298	-65.972984
75.366211	-62.189831
76.039124	-65.291847
76.712036	-74.847847
77.384949	-67.835808
78.057861	-68.307991
78.730774	-70.413521
79.403687	-65.742615
80.076599	-66.305511
80.749512	-98.535057
81.422424	-77.662849
82.095337	-79.095917
82.768250	-72.751709
83.441162	-67.058975
84.114075	-68.775192
84.786987	-71.626312
85.459900	-71.822670
86.132812	-73.964981
86.805725	-73.829018
87.478638	-74.379868
88.151550	-72.864548
88.824463	-70.559555
89.497375	-66.166550
90.170288	-63.156654
90.843201	-65.360802
